zip,num_vehicles,num_chargers,_merge,vehicles_per_charger,valid_zip
91773,0.0,16,right_only,0.0,1
91775,0.0,1,right_only,0.0,1
91776,0.0,8,right_only,0.0,1
91780,0.0,4,right_only,0.0,1
91786,0.0,7,right_only,0.0,1
91789,0.0,80,right_only,0.0,1
91790,0.0,11,right_only,0.0,1
91791,0.0,7,right_only,0.0,1
91792,0.0,1,right_only,0.0,1
91801,0.0,6,right_only,0.0,1
91803,0.0,4,right_only,0.0,1
91901,0.0,4,right_only,0.0,1
91906,0.0,6,right_only,0.0,1
91910,0.0,28,right_only,0.0,1
91911,0.0,27,right_only,0.0,1
91914,0.0,6,right_only,0.0,1
91915,0.0,7,right_only,0.0,1
91931,0.0,1,right_only,0.0,1
91932,0.0,5,right_only,0.0,1
91935,0.0,1,right_only,0.0,1
91941,0.0,1,right_only,0.0,1
91942,0.0,11,right_only,0.0,1
91943,0.0,1,right_only,0.0,1
91945,0.0,5,right_only,0.0,1
91950,0.0,32,right_only,0.0,1
91977,0.0,1,right_only,0.0,1
92004,0.0,5,right_only,0.0,1
92007,0.0,4,right_only,0.0,1
92008,0.0,31,right_only,0.0,1
92009,0.0,20,right_only,0.0,1
92010,0.0,10,right_only,0.0,1
92011,0.0,8,right_only,0.0,1
92014,0.0,13,right_only,0.0,1
92019,0.0,12,right_only,0.0,1
92020,0.0,40,right_only,0.0,1
92021,0.0,27,right_only,0.0,1
92024,0.0,23,right_only,0.0,1
92025,0.0,20,right_only,0.0,1
92026,0.0,11,right_only,0.0,1
92027,0.0,3,right_only,0.0,1
92028,0.0,18,right_only,0.0,1
92029,0.0,25,right_only,0.0,1
92036,0.0,5,right_only,0.0,1
92037,0.0,97,right_only,0.0,1
92040,0.0,16,right_only,0.0,1
92054,0.0,37,right_only,0.0,1
92056,0.0,13,right_only,0.0,1
92057,0.0,4,right_only,0.0,1
92058,0.0,2,right_only,0.0,1
92059,0.0,1,right_only,0.0,1
92064,0.0,5,right_only,0.0,1
92065,0.0,7,right_only,0.0,1
