zip,num_ev_vehicles,num_ev_stations,ev_vehicles_per_station
92110,0.0,29,0.0
92111,0.0,30,0.0
92113,0.0,6,0.0
92114,0.0,2,0.0
92115,0.0,13,0.0
92116,0.0,1,0.0
92117,0.0,3,0.0
92118,0.0,17,0.0
92119,0.0,3,0.0
92120,0.0,7,0.0
92121,0.0,104,0.0
92122,0.0,25,0.0
92123,0.0,62,0.0
92126,0.0,17,0.0
92127,0.0,58,0.0
92128,0.0,8,0.0
92129,0.0,8,0.0
92130,0.0,38,0.0
92131,0.0,10,0.0
92132,0.0,6,0.0
92139,0.0,1,0.0
92140,0.0,1,0.0
92154,0.0,8,0.0
92161,0.0,1,0.0
92173,0.0,5,0.0
92182,0.0,17,0.0
92201,0.0,19,0.0
92203,0.0,2,0.0
92210,0.0,23,0.0
92211,0.0,21,0.0
92220,0.0,4,0.0
92223,0.0,9,0.0
92225,0.0,12,0.0
92227,0.0,3,0.0
92230,0.0,6,0.0
92231,0.0,3,0.0
92233,0.0,2,0.0
92234,0.0,14,0.0
92236,0.0,2,0.0
92240,0.0,8,0.0
92243,0.0,8,0.0
92249,0.0,1,0.0
92251,0.0,5,0.0
92252,0.0,5,0.0
92253,0.0,11,0.0
92256,0.0,1,0.0
92260,0.0,9,0.0
92262,0.0,57,0.0
92264,0.0,14,0.0
92270,0.0,21,0.0
92274,0.0,1,0.0
92277,0.0,6,0.0
92284,0.0,5,0.0
92301,0.0,1,0.0
92307,0.0,3,0.0
92308,0.0,1,0.0
92309,0.0,7,0.0
92311,0.0,19,0.0
92313,0.0,4,0.0
92315,0.0,10,0.0
92316,0.0,5,0.0
92317,0.0,1,0.0
92320,0.0,2,0.0
92324,0.0,12,0.0
92325,0.0,1,0.0
92328,0.0,1,0.0
92331,0.0,1,0.0
92332,0.0,2,0.0
92335,0.0,26,0.0
92336,0.0,7,0.0
92337,0.0,1,0.0
92345,0.0,11,0.0
92346,0.0,24,0.0
92352,0.0,4,0.0
92354,0.0,25,0.0
92356,0.0,2,0.0
92363,0.0,5,0.0
92364,0.0,3,0.0
92373,0.0,3,0.0
92374,0.0,25,0.0
92376,0.0,9,0.0
92377,0.0,3,0.0
92382,0.0,1,0.0
92384,0.0,2,0.0
92385,0.0,1,0.0
92392,0.0,12,0.0
92394,0.0,8,0.0
92395,0.0,14,0.0
92397,0.0,1,0.0
92398,0.0,6,0.0
92399,0.0,3,0.0
92401,0.0,4,0.0
92404,0.0,15,0.0
92405,0.0,1,0.0
92407,0.0,3,0.0
92408,0.0,94,0.0
92410,0.0,26,0.0
92411,0.0,3,0.0
92415,0.0,2,0.0
92501,0.0,22,0.0
92503,0.0,17,0.0
92504,0.0,16,0.0
92505,0.0,2,0.0
92506,0.0,5,0.0
92507,0.0,46,0.0
92508,0.0,6,0.0
92509,0.0,9,0.0
92518,0.0,6,0.0
92530,0.0,6,0.0
92532,0.0,2,0.0
92539,0.0,5,0.0
92543,0.0,3,0.0
92544,0.0,2,0.0
92545,0.0,4,0.0
92549,0.0,2,0.0
92553,0.0,10,0.0
92555,0.0,21,0.0
92557,0.0,9,0.0
92562,0.0,25,0.0
92563,0.0,17,0.0
92570,0.0,5,0.0
92571,0.0,9,0.0
92582,0.0,1,0.0
92584,0.0,4,0.0
92586,0.0,1,0.0
92590,0.0,11,0.0
92591,0.0,16,0.0
92592,0.0,23,0.0
92595,0.0,4,0.0
92596,0.0,4,0.0
92602,0.0,16,0.0
92603,0.0,62,0.0
92604,0.0,32,0.0
92606,0.0,19,0.0
92610,0.0,8,0.0
92612,0.0,131,0.0
92614,0.0,60,0.0
92617,0.0,103,0.0
92618,0.0,338,0.0
92620,0.0,13,0.0
92624,0.0,1,0.0
92625,0.0,3,0.0
92626,0.0,98,0.0
92627,0.0,3,0.0
92629,0.0,11,0.0
92630,0.0,18,0.0
92637,0.0,9,0.0
92639,0.0,1,0.0
92646,0.0,4,0.0
92647,0.0,24,0.0
92648,0.0,31,0.0
92649,0.0,2,0.0
92651,0.0,13,0.0
92653,0.0,10,0.0
92656,0.0,16,0.0
92657,0.0,10,0.0
92660,0.0,91,0.0
92663,0.0,13,0.0
92672,0.0,12,0.0
92673,0.0,8,0.0
92675,0.0,9,0.0
92677,0.0,13,0.0
92679,0.0,1,0.0
92683,0.0,20,0.0
92688,0.0,3,0.0
92691,0.0,7,0.0
92692,0.0,16,0.0
92694,0.0,18,0.0
92697,0.0,3,0.0
92701,0.0,34,0.0
92703,0.0,3,0.0
92704,0.0,7,0.0
92705,0.0,19,0.0
92706,0.0,10,0.0
92707,0.0,12,0.0
92708,0.0,17,0.0
92780,0.0,29,0.0
92782,0.0,14,0.0
92801,0.0,14,0.0
92802,0.0,150,0.0
92803,0.0,1,0.0
92804,0.0,7,0.0
92805,0.0,41,0.0
92806,0.0,20,0.0
92807,0.0,10,0.0
92808,0.0,2,0.0
92821,0.0,15,0.0
92823,0.0,2,0.0
92831,0.0,54,0.0
92832,0.0,50,0.0
92833,0.0,11,0.0
92835,0.0,7,0.0
92840,0.0,6,0.0
92841,0.0,1,0.0
92843,0.0,1,0.0
92844,0.0,1,0.0
92860,0.0,4,0.0
92865,0.0,1,0.0
92866,0.0,8,0.0
92867,0.0,7,0.0
92868,0.0,69,0.0
92869,0.0,2,0.0
92870,0.0,5,0.0
92878,0.0,1,0.0
92879,0.0,8,0.0
92880,0.0,6,0.0
92881,0.0,4,0.0
92882,0.0,19,0.0
92883,0.0,4,0.0
92886,0.0,15,0.0
92887,0.0,4,0.0
93001,0.0,18,0.0
93002,0.0,1,0.0
93003,0.0,19,0.0
93004,0.0,6,0.0
93009,0.0,2,0.0
93010,0.0,27,0.0
93012,0.0,10,0.0
93013,0.0,6,0.0
93015,0.0,3,0.0
93021,0.0,14,0.0
93022,0.0,1,0.0
93023,0.0,11,0.0
93030,0.0,8,0.0
93033,0.0,5,0.0
93035,0.0,6,0.0
93036,0.0,25,0.0
93041,0.0,7,0.0
93060,0.0,7,0.0
93063,0.0,4,0.0
93065,0.0,11,0.0
93066,0.0,1,0.0
93101,0.0,48,0.0
93103,0.0,5,0.0
93105,0.0,6,0.0
93106,0.0,13,0.0
93108,0.0,11,0.0
93109,0.0,7,0.0
93110,0.0,5,0.0
93111,0.0,2,0.0
93117,0.0,34,0.0
93203,0.0,7,0.0
93204,0.0,2,0.0
93206,0.0,8,0.0
93210,0.0,10,0.0
93215,0.0,9,0.0
93221,0.0,2,0.0
93223,0.0,5,0.0
93230,0.0,39,0.0
93234,0.0,4,0.0
93239,0.0,8,0.0
93241,0.0,3,0.0
93243,0.0,8,0.0
93245,0.0,5,0.0
93246,0.0,1,0.0
93247,0.0,5,0.0
93249,0.0,6,0.0
93250,0.0,7,0.0
93254,0.0,2,0.0
93257,0.0,11,0.0
93263,0.0,4,0.0
93268,0.0,2,0.0
93271,0.0,2,0.0
93274,0.0,10,0.0
93277,0.0,10,0.0
93280,0.0,6,0.0
93286,0.0,5,0.0
93291,0.0,14,0.0
93292,0.0,11,0.0
93301,0.0,49,0.0
93304,0.0,4,0.0
93305,0.0,1,0.0
93306,0.0,3,0.0
93307,0.0,6,0.0
93308,0.0,19,0.0
93309,0.0,7,0.0
93311,0.0,11,0.0
93312,0.0,2,0.0
93313,0.0,15,0.0
93314,0.0,2,0.0
93401,0.0,58,0.0
