zip,num_ev_vehicles,num_ev_stations,ev_vehicles_per_station
91325,1610.0,20.0,80.5
91326,4458.0,9.0,495.3333333333333
91327,9.0,0.0,
91328,5.0,0.0,
91330,6.0,8.0,0.75
91331,1250.0,10.0,125.0
91335,2126.0,14.0,151.85714285714286
91337,6.0,0.0,
91340,455.0,12.0,37.916666666666664
91341,1.0,0.0,
91342,2344.0,12.0,195.33333333333334
91343,1762.0,11.0,160.1818181818182
91344,3227.0,8.0,403.375
91345,501.0,9.0,55.666666666666664
91346,3.0,0.0,
91350,2883.0,10.0,288.3
91351,1161.0,5.0,232.2
91352,1179.0,5.0,235.8
91353,2.0,0.0,
91354,2620.0,0.0,
91355,1751.0,44.0,39.79545454545455
91356,2609.0,24.0,108.70833333333333
91357,17.0,0.0,
91358,1.0,0.0,
91359,13.0,0.0,
91360,1947.0,20.0,97.35
91361,1950.0,24.0,81.25
91362,3091.0,38.0,81.34210526315789
91364,2577.0,6.0,429.5
91365,8.0,0.0,
91367,3384.0,44.0,76.9090909090909
91371,4.0,0.0,
91372,21.0,0.0,
91376,16.0,0.0,
91377,1345.0,1.0,1345.0
91380,20.0,0.0,
91381,2610.0,1.0,2610.0
91384,961.0,1.0,961.0
91385,5.0,0.0,
91386,3.0,0.0,
91387,2175.0,3.0,725.0
91390,939.0,0.0,
91392,3.0,0.0,
91393,1.0,0.0,
91394,9.0,0.0,
91396,3.0,0.0,
91401,1966.0,11.0,178.72727272727272
91402,1137.0,14.0,81.21428571428571
91403,2203.0,12.0,183.58333333333334
91404,2.0,0.0,
91405,1694.0,57.0,29.719298245614034
91406,1779.0,17.0,104.6470588235294
91409,9.0,0.0,
91411,844.0,14.0,60.285714285714285
91412,2.0,0.0,
91413,22.0,0.0,
91416,10.0,0.0,
91423,2357.0,24.0,98.20833333333333
91424,1.0,0.0,
91426,19.0,0.0,
91436,2371.0,11.0,215.54545454545453
91501,1203.0,0.0,
91502,440.0,66.0,6.666666666666667
91503,4.0,0.0,
91504,1466.0,10.0,146.6
91505,1411.0,39.0,36.17948717948718
91506,876.0,10.0,87.6
91507,2.0,0.0,
91510,12.0,0.0,
91521,4.0,0.0,
91522,0.0,1.0,0.0
91523,0.0,2.0,0.0
91601,1416.0,21.0,67.42857142857143
91602,1229.0,28.0,43.892857142857146
91603,5.0,0.0,
91604,2774.0,18.0,154.11111111111111
91605,1480.0,12.0,123.33333333333333
91606,1351.0,42.0,32.166666666666664
91607,1619.0,8.0,202.375
91608,5.0,43.0,0.11627906976744186
91609,3.0,0.0,
91610,1.0,0.0,
91612,1.0,0.0,
91614,5.0,0.0,
91615,3.0,0.0,
91616,1.0,0.0,
91701,1435.0,3.0,478.3333333333333
91702,1476.0,9.0,164.0
91706,1423.0,6.0,237.16666666666666
91708,1781.0,1.0,1781.0
91709,6361.0,20.0,318.05
91710,3112.0,7.0,444.57142857142856
91711,1721.0,27.0,63.74074074074074
91713,1.0,0.0,
91715,10.0,0.0,
91720,1.0,0.0,
91722,825.0,2.0,412.5
91723,556.0,15.0,37.06666666666667
91724,897.0,1.0,897.0
91729,18.0,0.0,
91730,2182.0,19.0,114.84210526315789
91731,636.0,17.0,37.411764705882355
91732,1287.0,10.0,128.7
91733,849.0,3.0,283.0
91734,2.0,0.0,
91737,1246.0,1.0,1246.0
91739,2824.0,5.0,564.8
91740,745.0,11.0,67.72727272727273
91741,1265.0,10.0,126.5
91743,1.0,0.0,
91744,1407.0,3.0,469.0
91745,2750.0,4.0,687.5
91746,552.0,38.0,14.526315789473685
91747,5.0,0.0,
91748,2715.0,9.0,301.6666666666667
91750,1224.0,12.0,102.0
91752,1337.0,4.0,334.25
91754,1582.0,5.0,316.4
91755,1185.0,6.0,197.5
91756,1.0,0.0,
91759,10.0,0.0,
9176.,0.0,1.0,0.0
91761,2695.0,21.0,128.33333333333334
91762,1913.0,4.0,478.25
91763,731.0,9.0,81.22222222222223
91764,872.0,21.0,41.523809523809526
91765,3983.0,43.0,92.62790697674419
91766,1413.0,4.0,353.25
91767,845.0,16.0,52.8125
91768,483.0,5.0,96.6
91769,5.0,0.0,
91770,2793.0,8.0,349.125
91772,1.0,0.0,
91773,1428.0,16.0,89.25
91775,1418.0,1.0,1418.0
91776,1541.0,8.0,192.625
91778,6.0,0.0,
91780,2081.0,4.0,520.25
91784,1657.0,0.0,
91785,6.0,0.0,
91786,1232.0,7.0,176.0
91788,20.0,0.0,
91789,3797.0,80.0,47.4625
91790,1525.0,11.0,138.63636363636363
91791,1677.0,7.0,239.57142857142858
91792,979.0,1.0,979.0
91793,7.0,0.0,
91801,1871.0,6.0,311.8333333333333
91802,24.0,0.0,
91803,1098.0,4.0,274.5
91804,1.0,0.0,
91816,1.0,0.0,
91901,445.0,4.0,111.25
91902,740.0,0.0,
91903,6.0,0.0,
91905,14.0,0.0,
91906,60.0,6.0,10.0
91908,2.0,0.0,
91909,2.0,0.0,
91910,1764.0,28.0,63.0
91911,1279.0,27.0,47.370370370370374
91912,15.0,0.0,
91913,3220.0,0.0,
91914,1157.0,6.0,192.83333333333334
91915,1909.0,7.0,272.7142857142857
91916,32.0,0.0,
91917,13.0,0.0,
91921,16.0,0.0,
91931,6.0,1.0,6.0
91932,307.0,5.0,61.4
91933,4.0,0.0,
91934,9.0,0.0,
91935,406.0,1.0,406.0
91941,1275.0,1.0,1275.0
91942,955.0,11.0,86.81818181818181
91943,1.0,1.0,1.0
91944,14.0,0.0,
91945,519.0,5.0,103.8
91946,1.0,0.0,
91948,1.0,0.0,
91949,1.0,0.0,
91950,630.0,32.0,19.6875
91951,2.0,0.0,
91962,50.0,0.0,
91963,9.0,0.0,
91976,1.0,0.0,
91977,1247.0,1.0,1247.0
91978,364.0,0.0,
91979,2.0,0.0,
91980,9.0,0.0,
92003,290.0,0.0,
92004,44.0,5.0,8.8
92007,680.0,4.0,170.0
92008,1488.0,31.0,48.0
92009,3604.0,20.0,180.2
92010,1235.0,10.0,123.5
92011,1887.0,8.0,235.875
92013,13.0,0.0,
92014,1487.0,13.0,114.38461538461539
92018,22.0,0.0,
92019,1693.0,12.0,141.08333333333334
92020,1283.0,40.0,32.075
